schema: *key, $text

- Mod details
Mod.Description, "Affiche dans des infobulles des informations sur les PNJ, les bâtiments, les objets et autres éléments avec lesquels on peut interagir."

- Settings
Settings.GeneralSettings.Name, "ParamètresGénéraux"
Settings.GeneralSettings.HideDefaultInteractTooltip.Name, "CacherInfobullesParDéfaut"
Settings.GeneralSettings.HideDefaultInteractTooltip.Description, "Pas d'indice par défaut pour les objets interactifs qui devraient être secrets, en particulier pour les énigmes de la quête principale."
Settings.GeneralSettings.ShowHiddenDoorsTooltip.Name, "MontrerInfobulleSurPortesCachées"
Settings.GeneralSettings.ShowHiddenDoorsTooltip.Description, "Afficher une infobulle sur les portes secrètes et les portes cachées de type mur."
Settings.GeneralSettings.OnlyInInfoMode.Name, "SeulementEnModeInfo"
Settings.GeneralSettings.OnlyInInfoMode.Description, "Ne montrer les infobulles que quand on est en mode Info"
Settings.GeneralSettings.NamesOfRestrainedFoes.Name, "NomsDesEnnemisNeutres"
Settings.GeneralSettings.NamesOfRestrainedFoes.Description, "Afficher les noms des ennemis générés par les quêtes qui sont neutres (pacifiques, non combattants)"
Settings.Lockinfo.Name, "InfosVerrouillage"
Settings.Lockinfo.Description, "Montre le statut de verrouillage de la porte"
Settings.Lockinfo.ShowLockStatus.Name, "MontrerStatutDeVerrouillage"
Settings.Lockinfo.ShowLockStatus.Description, "Si la porte est verrouillée, montrer qu'elle l'est"
Settings.Lockinfo.ShowLockLevel.Name, "MontrerNiveauDeVerrouillage"
Settings.Lockinfo.ShowLockLevel.Description, "Si la porte est verrouillée, afficher le niveau de verrouillage"
Settings.Lockinfo.ShowLockOpenChance.Name, "MontrerChanceOuverture"
Settings.Lockinfo.ShowLockOpenChance.Description, "Si la porte est verrouillée, afficher la probabilité de crochetage"
Settings.Positioning.Name, "Positionnement"
Settings.Positioning.Description, "Positionnement"
Settings.Positioning.TooltipOffsetX.Name, "TooltipOffsetX"
Settings.Positioning.TooltipOffsetX.Description, "Décalage horizontal du réticule (positif = droit, négatif = gauche)"
Settings.Positioning.TooltipOffsetY.Name, "TooltipOffsetY"
Settings.Positioning.TooltipOffsetY.Description, "Décalage vertical du réticule (positif = bas, négatif = haut)"
Settings.Experimental.Name, "Expérimental"
Settings.Experimental.Description, "À utiliser avec précaution !"
Settings.Experimental.CenterText.Name, "CentrerTexte"
Settings.Experimental.CenterText.Description, "Centrer le texte dans l'infobulle (sinon il est aligné à gauche)."
Settings.Experimental.Font.Name, "Fonte"
Settings.Experimental.Font.Description, "Fonte à utiliser pour les infobulles (Fonts/FONT000X)."
Settings.Experimental.FontScale.Name, "ÉchelleDeFonte"
Settings.Experimental.FontScale.Description, "Mettre la fonte à l'échelle dans un sens ou dans l'autre. Peut provoquer des artefacts visuels."
Settings.Experimental.TextColor.Name, "CouleurDuTexte"
Settings.Experimental.TextColor.Description, "Couleur du texte de l'infobulle"
Settings.Experimental.BackgroundColor.Name, "CouleurDeFond"
Settings.Experimental.BackgroundColor.Description, "Couleur de fond (nécessite un redémarrage)."
Settings.Experimental.Textured.Name, "FondTransparent"
Settings.Experimental.Textured.Description, "Montrer les textures par transparence, sinon couleur de fond (nécessite un redémarrage)."
Settings.Experimental.ShowLockLevel.Name, "MontrerNiveauVerrouillage"
Settings.Experimental.ShowLockLevel.Description, "Si la porte est verrouillée, afficher le niveau de verrouillage."

- Presets
Presets.Default.Title, "Défaut"
Presets.Default.Description, "Paramètres par défaut"
Presets.Aspect 4:3.Title, "Aspect 4:3"
Presets.Aspect 4:3.Description, "Pour le ratio d'affichage de 4:3 en mode rétro"
Presets.Aspect 16:10.Title, "Aspect 16:10"
Presets.Aspect 16:10.Description, "Pour le ratio d'affichage de 16:10 en mode rétro"

- Additional strings which can be accessed from Mod.Localize().
- Default values can be provided with a table named textdatabase.txt inside the mod bundle.
