Key,Value
Bed,Bett
Bookshelf,Buchregal
BulletinBoard,Anschlagbrett
Cabinets,Schrank
Chest,Truhe
Crate,Kiste
Cupboard,Wandschrank
DeadEnemy,{0} [tot]
Door,Tür
Dresser,Kommode
GoTo,{0}
GoToCityWalls,Stadtmauer\rvon {0}
GoToRegion,Zur Region\r{0}
Interact,<Interaktion>
Ladder,Leiter
Lever,Hebel
LockLevel,{0}\rSchlossstufe: {1}
LockLevelUnlockChance,{0}\rÖffnungswahrscheinlichkeit: {1}%
LockLevelHidden,{0}\r[verschlossen]
LootPile,Beutehaufen
Mantella,Das Mantella
PalaceClosed,Der Palast ist geschlossen. Geöffnet von %d1:00 bis %d2:00.
Shelf,Regal
ShopShelf,Verkaufsregal
StackCount,{0} ({1})
TotemOfSeptim,Das Totem von Tiber Septim
Wardrobe,Kleiderschrank
Wheel,Rad
