schema: *key, $text

- Mod details
Mod.Description, "Zeigt Informationen über NPCs, Gebäude, Gegenstände und andere interaktive Objekte als Tooltipp an."

- Settings
Settings.GeneralSettings.Name, "Allgemeine Einstellungen"
Settings.GeneralSettings.HideDefaultInteractTooltip.Name, "Interaktive Tooltipps verstecken"
Settings.GeneralSettings.HideDefaultInteractTooltip.Description, "Zeige keine Tooltipps bei interaktiven Objekte an, die eigentlich geheim bleiben sollten, insbesondere bei Rätseln der Hauptquest."
Settings.GeneralSettings.ShowHiddenDoorsTooltip.Name, "Tooltipp bei Geheimtüren"
Settings.GeneralSettings.ShowHiddenDoorsTooltip.Description, "Zeige Tooltipps bei geheimen und versteckten wandähnlichen Türen an."
Settings.GeneralSettings.OnlyInInfoMode.Name, "Nur im Infomodus"
Settings.GeneralSettings.OnlyInInfoMode.Description, "Tooltipp nur anzeigen, wenn die Interaktion im Infomodus erfolgt."
Settings.GeneralSettings.NamesOfRestrainedFoes.Name, "Namen beruhigter Gegner anzeigen"
Settings.GeneralSettings.NamesOfRestrainedFoes.Description, "Zeige Namen von Gegnern, die während Quests automatisch generiert werden und nicht von sich aus angreifen."
Settings.Lockinfo.Name, "Schlossinfo"
Settings.Lockinfo.Description, "Zeige den Status der verschlossenen Tür an."
Settings.Lockinfo.ShowLockStatus.Name, "Schlossstatus anzeigen"
Settings.Lockinfo.ShowLockStatus.Description, "Falls die Tür verschlossen ist, zeige an, dass sie verschlossen ist."
Settings.Lockinfo.ShowLockLevel.Name, "Schlossstufe anzeigen"
Settings.Lockinfo.ShowLockLevel.Description, "Falls die Tür verschlossen ist, zeige die Schlossstufe an."
Settings.Lockinfo.ShowLockOpenChance.Name, "Schlossöffnungschance anzeigen"
Settings.Lockinfo.ShowLockOpenChance.Description, "Falls die Tür verschlossen ist, zeige die Chance zum Schlösser öffnen an."
Settings.Positioning.Name, "Positionierung"
Settings.Positioning.Description, "Tooltipp-Positionierung"
Settings.Positioning.TooltipOffsetX.Name, "Tooltipp-Versatz-X"
Settings.Positioning.TooltipOffsetX.Description, "Horizontaler Versatz vom Fadenkreuz (positiv = rechts, negativ = links)"
Settings.Positioning.TooltipOffsetY.Name, "Tooltipp-Versatz-Y"
Settings.Positioning.TooltipOffsetY.Description, "Vertikaler Versatz vom Fadenkreuz (positiv = unten, negativ = oben)"
Settings.Experimental.Name, "Experimentell"
Settings.Experimental.Description, "Mit bedacht wählen!"
Settings.Experimental.CenterText.Name, "Tooltipp zentrieren"
Settings.Experimental.CenterText.Description, "Text des Tooltipps zentrieren (Standard: linksbündig)."
Settings.Experimental.Font.Name, "Schriftart"
Settings.Experimental.Font.Description, "Welche Schriftart für Tooltipps verwenden (Fonts/FONT000X)."
Settings.Experimental.FontScale.Name, "Skalierung der Schriftart"
Settings.Experimental.FontScale.Description, "Möglichkeit der Skalierung der Schriftart in die eine oder andere Richtung. Dies könnte visuelle Artefakte erzeugen."
Settings.Experimental.TextColor.Name, "Schriftfarbe"
Settings.Experimental.TextColor.Description, "Einstellung der Schriftfarbe."
Settings.Experimental.BackgroundColor.Name, "Hintergrundfarbe"
Settings.Experimental.BackgroundColor.Description, "Einstellung der Hintergrundfarbe (erfordert Neustart)."
Settings.Experimental.Textured.Name, "Texturierter Hintergrund"
Settings.Experimental.Textured.Description, "Nutzt texturierten Hintergrund, sonst Hintergrundfarbe (erfordert Neustart)."

- Presets
Presets.Default.Title, "Auf Standardwerte zurücksetzen"
Presets.Default.Description, "Setzt alle Angaben auf die Standardwerte zurück."
Presets.Aspect 4:3.Title, "Seitenverhältnis 4:3"
Presets.Aspect 4:3.Description, "Für das Seitenverhältnis 4:3 im Retro-Modus."
Presets.Aspect 16:10.Title, "Seitenverhältnis 16:10"
Presets.Aspect 16:10.Description, "Für das Seitenverhältnis 16:10 im Retro-Modus."
