schema: *key, $text

- Mod details
Mod.Description, "Отображает информацию о NPC, зданиях, предметах и других интерактивных объектах."

- Settings
Settings.GeneralSettings.Name, "Основные"
Settings.GeneralSettings.HideDefaultInteractTooltip.Name, "Скрыть секретные объекты"
Settings.GeneralSettings.HideDefaultInteractTooltip.Description, "Не показывать подсказку на активных объектах, которые, возможно, должны были быть секретными, особенно в случае квестовых загадок."
Settings.GeneralSettings.ShowHiddenDoorsTooltip.Name, "Тултип на секретных дверях"
Settings.GeneralSettings.ShowHiddenDoorsTooltip.Description, "Показывать подсказку на на секретных дверях, обычно в подземельях, которые выглядят как стены."
Settings.GeneralSettings.OnlyInInfoMode.Name, "Только в режиме Информации"
Settings.GeneralSettings.OnlyInInfoMode.Description, "Показывать подсказку только если режим взаимодействия - Информация."
Settings.GeneralSettings.NamesOfRestrainedFoes.Name, "Имена мирных врагов"
Settings.GeneralSettings.NamesOfRestrainedFoes.Description, "Показывать имена квестовых врагов, если они не агрессивны (не атакуют)."
Settings.Lockinfo.Name, "Запертые двери"
Settings.Lockinfo.Description, "Информация о закрытых дверях и замках"
Settings.Lockinfo.ShowLockStatus.Name, "Отображать статус"
Settings.Lockinfo.ShowLockStatus.Description, "Показывать в подсказке, что дверь заперта"
Settings.Lockinfo.ShowLockLevel.Name, "Уровень замка"
Settings.Lockinfo.ShowLockLevel.Description, "Отображать уровень замка на запертых дверях"
Settings.Lockinfo.ShowLockOpenChance.Name, "Шанс вскрыть"
Settings.Lockinfo.ShowLockOpenChance.Description, "Отображать шанс успешного взлома замка"
Settings.Positioning.Name, "Позиционирование"
Settings.Positioning.Description, "Позиционирование"
Settings.Positioning.TooltipOffsetX.Name, "Горизонтальное смещение"
Settings.Positioning.TooltipOffsetX.Description, "Горизонтальное смещение позиции подсказки (положительные = направо, отрицательные = налево)"
Settings.Positioning.TooltipOffsetY.Name, "Вертикальное смещение"
Settings.Positioning.TooltipOffsetY.Description, "Вертикальное смещение позиции подсказки (положительные = вниз, отрицательные = вверх)"
Settings.Experimental.Name, "Экспериментальные"
Settings.Experimental.Description, "Меняйте осторожно!"
Settings.Experimental.CenterText.Name, "Центрировать"
Settings.Experimental.CenterText.Description, "Центрировать текст внутри подсказки"
Settings.Experimental.Font.Name, "Шрифт"
Settings.Experimental.Font.Description, "Шрифт текста из игры (Fonts/FONT000X)"
Settings.Experimental.FontScale.Name, "Масштаб шрифта"
Settings.Experimental.FontScale.Description, "Масштабирование шрифта (больше меньше), может вызвать графические артефакты"
Settings.Experimental.TextColor.Name, "Цвет текста"
Settings.Experimental.TextColor.Description, "Цвет текста"
Settings.Experimental.BackgroundColor.Name, "Цвет фона"
Settings.Experimental.BackgroundColor.Description, "Цвет фона"
Settings.Experimental.Textured.Name, "Текстура"
Settings.Experimental.Textured.Description, "Использовать текстуру для фона"

- Presets
Presets.Default.Title, "По-умолчанию"
Presets.Default.Description, "Настройки по-умолчанию"
Presets.Aspect 4:3.Title, "Для 4:3"
Presets.Aspect 4:3.Description, "Для ретро режима 4:3"
Presets.Aspect 16:10.Title, "Для 16:10"
Presets.Aspect 16:10.Description, "Для ретро режима 16:10"
